LR,Iter,l2-reg,RMSE
0.1000,5000,0.0004,71.91677497387413
0.1000,5000,0.0002,71.84121352183304
0.1000,5000,0.0001,71.80998318098345
0.0800,5000,0.0004,71.98493803254476
0.0800,5000,0.0002,71.91521425152017
0.0800,5000,0.0001,71.8864554579606
0.1000,10000,0.0006,71.88961414832235
0.1000,10000,0.0004,71.77616481706104
0.1000,10000,0.0002,71.67833344692811
0.1000,10000,0.0001,71.63765763500243
0.0800,10000,0.0006,71.91677933218952
0.0800,10000,0.0004,71.81079267178212
0.0800,10000,0.0002,71.720522084175
0.0800,10000,0.0001,71.68301060635525
0.0500,10000,0.0004,71.91679482201015
0.0500,10000,0.0002,71.84123096854572
0.0500,10000,0.0001,71.80999883478584
0.1000,50000,0.0008,71.98642221658045
0.1000,50000,0.0006,71.84432246018035
0.1000,50000,0.0004,71.6998725271892
0.1000,50000,0.0002,71.54476844186875
0.1000,50000,0.0001,71.45819173630085
0.0800,50000,0.0008,71.98646866210662
0.0800,50000,0.0006,71.8445830143021
0.0800,50000,0.0004,71.70132196059123
0.0800,50000,0.0002,71.55249620676233
0.0800,50000,0.0001,71.47515833267083
0.0500,50000,0.0008,71.9873053569666
0.0500,50000,0.0006,71.84719870661867
0.0500,50000,0.0004,71.70951093255532
0.0500,50000,0.0002,71.57755961883984
0.0500,50000,0.0001,71.51771298733519
0.0300,50000,0.0008,71.99415280947923
0.0300,50000,0.0006,71.86041128107007
0.0300,50000,0.0004,71.73442859230273
0.0300,50000,0.0002,71.62216861576687
0.0300,50000,0.0001,71.57504498817545
0.0100,50000,0.0004,71.91681070181768
0.0100,50000,0.0002,71.84124492686603
0.0100,50000,0.0001,71.81001135860325
0.0080,50000,0.0004,71.9849786505727
0.0080,50000,0.0002,71.91524946022116
0.0080,50000,0.0001,71.88648702206459
0.1000,100000,0.0008,71.9864123926728
0.1000,100000,0.0006,71.84423009980809
0.1000,100000,0.0004,71.69894210518697
0.1000,100000,0.0002,71.53450840658732
0.1000,100000,0.0001,71.42395049649122
0.0800,100000,0.0008,71.986412447258
0.0800,100000,0.0006,71.84423174322988
0.0800,100000,0.0004,71.69899258506676
0.0800,100000,0.0002,71.53603021280735
0.0800,100000,0.0001,71.43169550810863
0.0500,100000,0.0008,71.98642222028754
0.0500,100000,0.0006,71.84432248076106
0.0500,100000,0.0004,71.69987262886444
0.0500,100000,0.0002,71.54476882521506
0.0500,100000,0.0001,71.45819230341696
0.0300,100000,0.0008,71.98675476100787
0.0300,100000,0.0006,71.84564554956415
0.0300,100000,0.0004,71.7052296127273
0.0300,100000,0.0002,71.56633550225376
0.0300,100000,0.0001,71.50023079155872
0.0100,100000,0.0006,71.88962554797592
0.0100,100000,0.0004,71.77617709553775
0.0100,100000,0.0002,71.67834505909076
0.0100,100000,0.0001,71.63766795745696
0.0080,100000,0.0006,71.9167931919412
0.0080,100000,0.0004,71.81080681187224
0.0080,100000,0.0002,71.72053508035775
0.0080,100000,0.0001,71.68302225935747
0.0040,100000,0.0004,71.98498090738963
0.0040,100000,0.0002,71.91525141644867
0.0040,100000,0.0001,71.8864887757769
